Date,Adj_Close,Adj_Volume
31/05/2002,80.72297458,19826300
03/06/2002,78.57728988,26056300
04/06/2002,78.77303218,25856200
05/06/2002,79.51085009,19695900
06/06/2002,77.89217303,22998500
07/06/2002,77.80182609,24011600
10/06/2002,78.10297653,18759900
11/06/2002,76.7628645,19990700
12/06/2002,77.22964761,31266000
13/06/2002,76.45418984,21043900
14/06/2002,76.34125824,39267500
17/06/2002,78.38907179,17647200
18/06/2002,79.02901179,21628500
19/06/2002,77.18447151,21540700
20/06/2002,76.19821023,25691000
21/06/2002,75.01093053,31190700
24/06/2002,75.40381917,37169700
25/06/2002,73.71138503,33355000
26/06/2002,73.83227518,37913600
27/06/2002,75.12426367,31616400
28/06/2002,74.76915476,28184200
01/07/2002,73.31094467,20270200
02/07/2002,71.75451469,34213900
03/07/2002,72.16251205,30565800
05/07/2002,75.03359625,19013500
08/07/2002,74.09671667,19118600
09/07/2002,72.23050847,28620400
10/07/2002,69.60120079,50522500
11/07/2002,70.16786274,59476500
12/07/2002,69.39719871,39018600
15/07/2002,69.76741634,77317200
16/07/2002,68.42254016,53282400
17/07/2002,68.55853903,48880600
18/07/2002,66.33722796,32656700
19/07/2002,64.0025777,77572600
22/07/2002,62.10614753,78134000
23/07/2002,60.40616167,74484100
24/07/2002,64.0101347,107022800
25/07/2002,63.46613847,87176600
26/07/2002,64.67501579,41206800
29/07/2002,67.82565548,53492900
30/07/2002,68.7096519,47532200
31/07/2002,68.87587425,44669900
01/08/2002,67.07766322,66571900
02/08/2002,65.57412169,51772900
05/08/2002,63.29235988,47191300
06/08/2002,65.42300805,64730000
07/08/2002,66.56388896,43289400
08/08/2002,68.71720362,48339800
09/08/2002,68.97409339,41879200
12/08/2002,68.46787689,25841700
13/08/2002,67.22121909,49690500
14/08/2002,69.67675421,57423600
15/08/2002,70.64385652,45551500
16/08/2002,70.43230348,36517300
19/08/2002,72.07940164,33669900
20/08/2002,71.31629461,30508300
21/08/2002,72.34384237,39628900
22/08/2002,73.04650319,38399800
23/08/2002,71.4749592,33716400
26/08/2002,71.97362474,33830100
27/08/2002,71.14252205,35335700
28/08/2002,69.58608603,38970600
29/08/2002,69.61630876,42965700
30/08/2002,69.34431102,30366700
03/09/2002,66.69988858,76586400
04/09/2002,67.65188217,51099500
05/09/2002,67.07766322,67250900
06/09/2002,67.99943408,38622200
09/09/2002,68.49809962,33998400
10/09/2002,69.28386557,41416600
11/09/2002,68.85320249,27711200
12/09/2002,67.58387972,43601700
13/09/2002,67.75010131,41131000
16/09/2002,67.9163229,28167600
17/09/2002,66.35989368,47609700
18/09/2002,65.69500655,54719400
19/09/2002,63.99502069,48510500
20/09/2002,64.01617683,46325600
23/09/2002,63.49251614,46893800
24/09/2002,62.46794916,69507000
25/09/2002,64.01617683,59294400
26/09/2002,65.06351111,53638000
27/09/2002,62.80188214,64648300
30/09/2002,62.07330517,73096400
01/10/2002,65.05592024,67198100
02/10/2002,63.10545771,56749100
03/10/2002,62.46794916,55547000
04/10/2002,61.32196091,68483700
07/10/2002,60.05453468,53188000
08/10/2002,60.9956188,79531000
09/10/2002,59.27283226,79956400
10/10/2002,61.19293738,76749000
11/10/2002,63.87198371,82308300
14/10/2002,64.22867791,40631900
15/10/2002,67.31754389,82320300
